unit_dur,percentage,participant_id,mean_sig,std_sig,n_sig,n_trial
0.7,0.444,14,0.14285714285714285,0.37796447300922725,1,7
0.7,0.444,15,0.5714285714285714,0.5345224838248488,4,7
0.7,0.444,17,0.14285714285714285,0.37796447300922725,1,7
0.7,0.444,18,0.8333333333333334,0.408248290463863,5,6
0.7,0.444,20,0.5714285714285714,0.5345224838248488,4,7
0.7,0.444,21,0.3333333333333333,0.5163977794943223,2,6
0.7,0.444,24,0.6,0.5477225575051661,3,5
0.7,0.444,25,0.5714285714285714,0.5345224838248488,4,7
0.7,0.444,27,0.3333333333333333,0.5163977794943222,2,6
0.7,0.444,28,0.0,0.0,0,7
0.7,0.444,29,0.14285714285714285,0.37796447300922725,1,7
0.7,0.444,30,0.2857142857142857,0.48795003647426666,2,7
0.7,0.444,31,0.2857142857142857,0.4879500364742666,2,7
0.7,0.444,34,0.2857142857142857,0.4879500364742666,2,7
0.7,0.444,35,0.5,0.5477225575051661,3,6
0.7,0.444,36,0.5,0.5477225575051662,3,6
0.7,0.556,1,0.42857142857142855,0.5345224838248488,3,7
0.7,0.556,3,1.0,0.0,7,7
0.7,0.556,4,0.42857142857142855,0.5345224838248488,3,7
0.7,0.556,5,1.0,0.0,7,7
0.7,0.556,6,1.0,0.0,7,7
0.7,0.556,7,1.0,0.0,7,7
0.7,0.556,9,0.14285714285714285,0.37796447300922725,1,7
0.7,0.556,10,0.3333333333333333,0.5163977794943223,2,6
0.7,0.556,11,0.14285714285714285,0.37796447300922725,1,7
0.7,0.556,12,0.5714285714285714,0.5345224838248488,4,7
0.7,0.556,13,1.0,0.0,7,7
0.7,0.556,14,0.2857142857142857,0.48795003647426666,2,7
0.7,0.556,15,0.42857142857142855,0.5345224838248488,3,7
0.7,0.556,17,0.5714285714285714,0.5345224838248488,4,7
0.7,0.556,18,0.75,0.5,3,4
0.7,0.556,20,0.7142857142857143,0.4879500364742666,5,7
0.7,0.556,21,0.8571428571428571,0.37796447300922725,6,7
0.7,0.556,24,0.2,0.447213595499958,1,5
0.7,0.556,25,1.0,0.0,7,7
0.7,0.556,27,1.0,0.0,7,7
0.7,0.556,28,0.0,0.0,0,7
0.7,0.556,29,0.42857142857142855,0.5345224838248488,3,7
0.7,0.556,30,0.7142857142857143,0.4879500364742666,5,7
0.7,0.556,31,0.42857142857142855,0.5345224838248488,3,7
0.7,0.556,34,0.42857142857142855,0.5345224838248488,3,7
0.7,0.556,35,0.5714285714285714,0.5345224838248488,4,7
0.7,0.556,36,0.2857142857142857,0.48795003647426666,2,7
0.7,0.667,1,0.8,0.4472135954999579,4,5
0.7,0.667,3,0.8333333333333334,0.408248290463863,5,6
0.7,0.667,4,0.8571428571428571,0.37796447300922725,6,7
0.7,0.667,5,1.0,0.0,7,7
0.7,0.667,6,1.0,0.0,7,7
0.7,0.667,7,0.8571428571428571,0.37796447300922725,6,7
0.7,0.667,9,1.0,0.0,6,6
0.7,0.667,10,0.75,0.5,3,4
0.7,0.667,11,0.6,0.5477225575051661,3,5
0.7,0.667,12,0.7142857142857143,0.4879500364742666,5,7
0.7,0.667,13,1.0,0.0,7,7
0.7,0.667,14,0.5714285714285714,0.5345224838248488,4,7
0.7,0.667,15,1.0,0.0,7,7
0.7,0.667,17,0.7142857142857143,0.4879500364742666,5,7
0.7,0.667,18,0.6666666666666666,0.5163977794943222,4,6
0.7,0.667,20,1.0,0.0,6,6
0.7,0.667,21,0.6666666666666666,0.5163977794943223,4,6
0.7,0.667,24,0.3333333333333333,0.5773502691896258,1,3
0.7,0.667,25,1.0,0.0,7,7
0.7,0.667,27,1.0,0.0,5,5
0.7,0.667,28,0.16666666666666666,0.408248290463863,1,6
0.7,0.667,29,0.5,0.7071067811865476,1,2
0.7,0.667,30,0.8571428571428571,0.37796447300922725,6,7
0.7,0.667,31,0.6,0.5477225575051662,3,5
0.7,0.667,34,0.6666666666666666,0.5163977794943222,4,6
0.7,0.667,35,0.8,0.4472135954999579,4,5
0.7,0.667,36,0.6666666666666666,0.5163977794943222,4,6
0.7,0.778,1,1.0,0.0,5,5
0.7,0.778,3,1.0,0.0,6,6
0.7,0.778,4,1.0,0.0,7,7
0.7,0.778,5,1.0,0.0,5,5
0.7,0.778,6,1.0,0.0,6,6
0.7,0.778,7,1.0,0.0,6,6
0.7,0.778,9,1.0,0.0,7,7
0.7,0.778,10,0.75,0.5,3,4
0.7,0.778,11,0.8571428571428571,0.37796447300922725,6,7
0.7,0.778,12,1.0,0.0,7,7
0.7,0.778,13,1.0,0.0,7,7
0.7,0.778,14,1.0,0.0,7,7
0.7,0.778,15,1.0,0.0,6,6
0.7,0.778,17,0.7142857142857143,0.4879500364742666,5,7
0.7,0.778,18,0.8,0.4472135954999579,4,5
0.7,0.778,20,1.0,0.0,4,4
0.7,0.778,21,1.0,0.0,7,7
0.7,0.778,24,0.5,0.5773502691896257,2,4
0.7,0.778,25,0.8571428571428571,0.37796447300922725,6,7
0.7,0.778,27,1.0,0.0,6,6
0.7,0.778,28,0.5714285714285714,0.5345224838248488,4,7
0.7,0.778,29,1.0,0.0,4,4
0.7,0.778,30,1.0,0.0,6,6
0.7,0.778,31,0.7142857142857143,0.4879500364742666,5,7
0.7,0.778,34,1.0,0.0,7,7
0.7,0.778,35,0.8,0.4472135954999579,4,5
0.7,0.778,36,0.8333333333333334,0.408248290463863,5,6
0.7,0.889,1,1.0,0.0,5,5
0.7,0.889,3,1.0,0.0,5,5
0.7,0.889,4,1.0,0.0,7,7
0.7,0.889,5,1.0,0.0,6,6
0.7,0.889,6,1.0,0.0,6,6
0.7,0.889,7,0.8571428571428571,0.37796447300922725,6,7
0.7,0.889,9,1.0,0.0,7,7
0.7,0.889,10,1.0,0.0,6,6
0.7,0.889,11,1.0,0.0,6,6
0.7,0.889,12,0.8,0.4472135954999579,4,5
0.7,0.889,13,1.0,0.0,7,7
0.7,0.889,14,1.0,0.0,7,7
0.7,0.889,15,1.0,0.0,5,5
0.7,0.889,17,0.7142857142857143,0.4879500364742666,5,7
0.7,0.889,18,1.0,0.0,5,5
0.7,0.889,20,1.0,0.0,4,4
0.7,0.889,21,1.0,0.0,6,6
0.7,0.889,24,1.0,0.0,2,2
0.7,0.889,25,1.0,0.0,6,6
0.7,0.889,27,1.0,0.0,6,6
0.7,0.889,28,0.8333333333333334,0.408248290463863,5,6
0.7,0.889,29,1.0,0.0,6,6
0.7,0.889,30,1.0,0.0,7,7
0.7,0.889,31,1.0,0.0,7,7
0.7,0.889,34,1.0,0.0,6,6
0.7,0.889,35,1.0,0.0,6,6
0.7,0.889,36,1.0,0.0,5,5
0.7,1.0,1,1.0,0.0,6,6
0.7,1.0,3,1.0,0.0,6,6
0.7,1.0,4,1.0,0.0,7,7
0.7,1.0,5,1.0,0.0,4,4
0.7,1.0,6,1.0,0.0,7,7
0.7,1.0,7,1.0,0.0,6,6
0.7,1.0,9,1.0,0.0,6,6
0.7,1.0,10,1.0,0.0,7,7
0.7,1.0,11,0.8333333333333334,0.408248290463863,5,6
0.7,1.0,12,1.0,0.0,7,7
0.7,1.0,13,1.0,0.0,6,6
0.7,1.0,14,1.0,0.0,7,7
0.7,1.0,15,1.0,0.0,4,4
0.7,1.0,17,1.0,0.0,7,7
0.7,1.0,18,1.0,0.0,6,6
0.7,1.0,20,1.0,,1,1
0.7,1.0,21,1.0,0.0,6,6
0.7,1.0,24,0.5,0.7071067811865476,1,2
0.7,1.0,25,1.0,0.0,7,7
0.7,1.0,27,1.0,0.0,5,5
0.7,1.0,28,1.0,0.0,7,7
0.7,1.0,29,1.0,0.0,7,7
0.7,1.0,30,1.0,0.0,6,6
0.7,1.0,31,1.0,0.0,7,7
0.7,1.0,34,1.0,0.0,7,7
0.7,1.0,35,1.0,0.0,6,6
0.7,1.0,36,1.0,0.0,6,6
1.0,0.0,1,0.2857142857142857,0.48795003647426666,2,7
1.0,0.0,3,0.0,0.0,0,7
1.0,0.0,4,0.14285714285714285,0.37796447300922725,1,7
1.0,0.0,5,0.2857142857142857,0.4879500364742666,2,7
1.0,0.0,6,0.2857142857142857,0.48795003647426666,2,7
1.0,0.0,7,0.16666666666666666,0.408248290463863,1,6
1.0,0.0,9,0.0,0.0,0,7
1.0,0.0,10,0.5714285714285714,0.5345224838248488,4,7
1.0,0.0,11,0.5,0.5477225575051661,3,6
1.0,0.0,12,0.42857142857142855,0.5345224838248488,3,7
1.0,0.0,13,0.0,0.0,0,7
1.0,0.0,14,0.5714285714285714,0.5345224838248488,4,7
1.0,0.0,15,0.14285714285714285,0.37796447300922725,1,7
1.0,0.0,17,0.16666666666666666,0.408248290463863,1,6
1.0,0.0,18,0.0,0.0,0,2
1.0,0.0,20,0.5714285714285714,0.5345224838248488,4,7
1.0,0.0,21,0.3333333333333333,0.5163977794943223,2,6
1.0,0.0,24,0.0,0.0,0,5
1.0,0.0,25,0.14285714285714285,0.37796447300922725,1,7
1.0,0.0,27,0.0,0.0,0,6
1.0,0.0,28,0.5714285714285714,0.5345224838248488,4,7
1.0,0.0,29,0.14285714285714285,0.37796447300922725,1,7
1.0,0.0,30,0.14285714285714285,0.37796447300922725,1,7
1.0,0.0,31,0.14285714285714285,0.37796447300922725,1,7
1.0,0.0,34,0.2857142857142857,0.48795003647426666,2,7
1.0,0.0,35,0.0,0.0,0,6
1.0,0.0,36,0.42857142857142855,0.5345224838248488,3,7
1.0,0.111,1,0.2857142857142857,0.4879500364742666,2,7
1.0,0.111,3,0.2,0.4472135954999579,1,5
1.0,0.111,4,0.0,0.0,0,6
1.0,0.111,5,0.0,0.0,0,7
1.0,0.111,6,0.2857142857142857,0.48795003647426666,2,7
1.0,0.111,7,0.2857142857142857,0.4879500364742666,2,7
1.0,0.111,9,0.0,0.0,0,7
1.0,0.111,10,0.2857142857142857,0.4879500364742666,2,7
1.0,0.111,11,0.42857142857142855,0.5345224838248488,3,7
1.0,0.111,12,0.0,0.0,0,7
1.0,0.111,13,0.14285714285714285,0.37796447300922725,1,7
1.0,0.111,14,0.42857142857142855,0.5345224838248488,3,7
1.0,0.111,15,0.14285714285714285,0.37796447300922725,1,7
1.0,0.111,17,0.2857142857142857,0.48795003647426666,2,7
1.0,0.111,18,0.5,0.7071067811865476,1,2
1.0,0.111,20,0.7142857142857143,0.4879500364742666,5,7
1.0,0.111,21,0.14285714285714285,0.37796447300922725,1,7
1.0,0.111,24,0.2,0.4472135954999579,1,5
1.0,0.111,25,0.42857142857142855,0.5345224838248488,3,7
1.0,0.111,27,0.42857142857142855,0.5345224838248488,3,7
1.0,0.111,28,0.42857142857142855,0.5345224838248488,3,7
1.0,0.111,29,0.14285714285714285,0.37796447300922725,1,7
1.0,0.111,30,0.42857142857142855,0.5345224838248488,3,7
1.0,0.111,31,0.0,0.0,0,7
1.0,0.111,34,0.14285714285714285,0.37796447300922725,1,7
1.0,0.111,35,0.0,0.0,0,6
1.0,0.111,36,0.2857142857142857,0.4879500364742666,2,7
1.0,0.222,1,0.2857142857142857,0.48795003647426666,2,7
1.0,0.222,3,0.0,0.0,0,7
1.0,0.222,4,0.14285714285714285,0.37796447300922725,1,7
1.0,0.222,5,0.14285714285714285,0.37796447300922725,1,7
1.0,0.222,6,0.14285714285714285,0.37796447300922725,1,7
1.0,0.222,7,0.2857142857142857,0.48795003647426666,2,7
1.0,0.222,9,0.2857142857142857,0.4879500364742666,2,7
1.0,0.222,10,0.2857142857142857,0.4879500364742666,2,7
1.0,0.222,11,0.16666666666666666,0.408248290463863,1,6
1.0,0.222,12,0.0,0.0,0,6
1.0,0.222,13,0.2857142857142857,0.4879500364742666,2,7
1.0,0.222,14,0.0,0.0,0,7
1.0,0.222,15,0.0,0.0,0,6
1.0,0.222,17,0.14285714285714285,0.37796447300922725,1,7
1.0,0.222,18,0.0,0.0,0,2
1.0,0.222,20,0.14285714285714285,0.37796447300922725,1,7
1.0,0.222,21,0.14285714285714285,0.37796447300922725,1,7
1.0,0.222,24,0.4,0.5477225575051661,2,5
1.0,0.222,25,0.3333333333333333,0.5163977794943223,2,6
1.0,0.222,27,0.6,0.5477225575051662,3,5
1.0,0.222,28,0.2857142857142857,0.48795003647426666,2,7
1.0,0.222,29,0.0,0.0,0,7
1.0,0.222,30,0.5714285714285714,0.5345224838248488,4,7
1.0,0.222,31,0.14285714285714285,0.37796447300922725,1,7
1.0,0.222,34,0.2857142857142857,0.4879500364742666,2,7
1.0,0.222,35,0.0,0.0,0,7
1.0,0.222,36,0.14285714285714285,0.37796447300922725,1,7
1.0,0.333,1,0.2857142857142857,0.48795003647426666,2,7
1.0,0.333,3,0.2857142857142857,0.48795003647426666,2,7
1.0,0.333,4,0.14285714285714285,0.37796447300922725,1,7
1.0,0.333,5,0.3333333333333333,0.5163977794943223,2,6
1.0,0.333,6,0.5714285714285714,0.5345224838248488,4,7
1.0,0.333,7,0.42857142857142855,0.5345224838248488,3,7
1.0,0.333,9,0.0,0.0,0,7
1.0,0.333,10,0.14285714285714285,0.37796447300922725,1,7
1.0,0.333,11,0.42857142857142855,0.5345224838248488,3,7
1.0,0.333,12,0.0,0.0,0,7
1.0,0.333,13,0.0,0.0,0,7
1.0,0.333,14,0.2857142857142857,0.48795003647426666,2,7
1.0,0.333,15,0.25,0.5,1,4
1.0,0.333,17,0.2857142857142857,0.48795003647426666,2,7
1.0,0.333,18,0.0,,0,1
1.0,0.333,20,0.42857142857142855,0.5345224838248488,3,7
1.0,0.333,21,0.14285714285714285,0.37796447300922725,1,7
1.0,0.333,24,0.4,0.5477225575051662,2,5
1.0,0.333,25,0.7142857142857143,0.48795003647426666,5,7
1.0,0.333,27,0.4,0.5477225575051662,2,5
1.0,0.333,28,0.14285714285714285,0.37796447300922725,1,7
1.0,0.333,29,0.2857142857142857,0.4879500364742666,2,7
1.0,0.333,30,0.2857142857142857,0.48795003647426666,2,7
1.0,0.333,31,0.0,0.0,0,7
1.0,0.333,34,0.2857142857142857,0.48795003647426666,2,7
1.0,0.333,35,0.16666666666666666,0.408248290463863,1,6
1.0,0.333,36,0.42857142857142855,0.5345224838248488,3,7
1.0,0.444,1,0.5714285714285714,0.5345224838248488,4,7
1.0,0.444,3,0.3333333333333333,0.5163977794943222,2,6
1.0,0.444,4,0.42857142857142855,0.5345224838248488,3,7
1.0,0.444,5,0.7142857142857143,0.4879500364742666,5,7
1.0,0.444,6,0.5,0.5477225575051661,3,6
1.0,0.444,7,0.6666666666666666,0.5163977794943223,4,6
1.0,0.444,9,0.14285714285714285,0.37796447300922725,1,7
1.0,0.444,10,0.5714285714285714,0.5345224838248488,4,7
1.0,0.444,11,0.42857142857142855,0.5345224838248488,3,7
1.0,0.444,12,0.7142857142857143,0.4879500364742666,5,7
1.0,0.444,13,0.7142857142857143,0.4879500364742666,5,7
1.0,0.444,14,0.7142857142857143,0.4879500364742666,5,7
1.0,0.444,15,0.42857142857142855,0.5345224838248488,3,7
1.0,0.444,17,0.3333333333333333,0.5163977794943223,2,6
1.0,0.444,18,1.0,,1,1
1.0,0.444,20,0.8571428571428571,0.37796447300922725,6,7
1.0,0.444,21,0.6,0.5477225575051662,3,5
1.0,0.444,24,0.0,0.0,0,4
1.0,0.444,25,0.8571428571428571,0.37796447300922725,6,7
1.0,0.444,27,0.8,0.4472135954999579,4,5
1.0,0.444,28,0.2857142857142857,0.4879500364742666,2,7
1.0,0.444,29,0.14285714285714285,0.37796447300922725,1,7
1.0,0.444,30,0.5714285714285714,0.5345224838248488,4,7
1.0,0.444,31,0.14285714285714285,0.37796447300922725,1,7
1.0,0.444,34,0.5714285714285714,0.5345224838248488,4,7
1.0,0.444,35,0.0,0.0,0,5
1.0,0.444,36,0.5,0.5477225575051661,3,6
1.0,0.556,1,0.8571428571428571,0.37796447300922725,6,7
1.0,0.556,3,0.8571428571428571,0.37796447300922725,6,7
1.0,0.556,4,0.42857142857142855,0.5345224838248488,3,7
1.0,0.556,5,0.8333333333333334,0.408248290463863,5,6
1.0,0.556,6,0.5714285714285714,0.5345224838248488,4,7
1.0,0.556,7,0.5,0.5477225575051662,3,6
1.0,0.556,9,0.5714285714285714,0.5345224838248488,4,7
1.0,0.556,10,0.2857142857142857,0.4879500364742666,2,7
1.0,0.556,11,0.6666666666666666,0.5163977794943222,4,6
1.0,0.556,12,0.7142857142857143,0.4879500364742666,5,7
1.0,0.556,13,0.5714285714285714,0.5345224838248488,4,7
1.0,0.556,14,0.5714285714285714,0.5345224838248488,4,7
1.0,0.556,15,0.4,0.5477225575051662,2,5
1.0,0.556,17,0.7142857142857143,0.4879500364742666,5,7
1.0,0.556,18,0.5,0.7071067811865476,1,2
1.0,0.556,20,0.5,0.5477225575051662,3,6
1.0,0.556,21,0.42857142857142855,0.5345224838248488,3,7
1.0,0.556,24,0.8,0.4472135954999579,4,5
1.0,0.556,25,1.0,0.0,6,6
1.0,0.556,27,0.8,0.4472135954999579,4,5
1.0,0.556,28,0.2857142857142857,0.48795003647426666,2,7
1.0,0.556,29,0.14285714285714285,0.37796447300922725,1,7
1.0,0.556,30,0.7142857142857143,0.4879500364742666,5,7
1.0,0.556,31,0.42857142857142855,0.5345224838248488,3,7
1.0,0.556,34,0.5714285714285714,0.5345224838248488,4,7
1.0,0.556,35,0.0,0.0,0,5
1.0,0.556,36,0.2857142857142857,0.4879500364742666,2,7
1.0,0.667,1,0.8571428571428571,0.37796447300922725,6,7
1.0,0.667,3,0.4,0.5477225575051662,2,5
1.0,0.667,4,0.6666666666666666,0.5163977794943223,4,6
1.0,0.667,5,0.8,0.4472135954999579,4,5
1.0,0.667,6,0.6666666666666666,0.5163977794943222,4,6
1.0,0.667,7,0.5714285714285714,0.5345224838248488,4,7
1.0,0.667,9,0.42857142857142855,0.5345224838248488,3,7
1.0,0.667,10,0.7142857142857143,0.4879500364742666,5,7
1.0,0.667,11,0.5,0.5477225575051661,3,6
1.0,0.667,12,1.0,0.0,4,4
1.0,0.667,13,0.8571428571428571,0.37796447300922725,6,7
1.0,0.667,14,0.5714285714285714,0.5345224838248488,4,7
1.0,0.667,15,0.8,0.4472135954999579,4,5
1.0,0.667,17,1.0,0.0,7,7
1.0,0.667,18,0.6666666666666666,0.5773502691896258,2,3
1.0,0.667,20,1.0,0.0,7,7
1.0,0.667,21,0.7142857142857143,0.4879500364742666,5,7
1.0,0.667,24,0.5,0.7071067811865476,1,2
1.0,0.667,25,1.0,0.0,7,7
1.0,0.667,27,0.6,0.5477225575051661,3,5
1.0,0.667,28,1.0,0.0,7,7
1.0,0.667,29,0.5,0.5477225575051662,3,6
1.0,0.667,30,1.0,0.0,7,7
1.0,0.667,31,0.6666666666666666,0.5163977794943222,4,6
1.0,0.667,34,0.7142857142857143,0.4879500364742666,5,7
1.0,0.667,35,0.2,0.447213595499958,1,5
1.0,0.667,36,0.6,0.5477225575051662,3,5
1.0,0.778,1,1.0,0.0,7,7
1.0,0.778,3,0.8,0.4472135954999579,4,5
1.0,0.778,4,0.8333333333333334,0.408248290463863,5,6
1.0,0.778,5,1.0,0.0,7,7
1.0,0.778,6,0.8333333333333334,0.408248290463863,5,6
1.0,0.778,7,1.0,0.0,7,7
1.0,0.778,9,1.0,0.0,7,7
1.0,0.778,10,0.8571428571428571,0.37796447300922725,6,7
1.0,0.778,11,0.7142857142857143,0.4879500364742666,5,7
1.0,0.778,12,1.0,0.0,7,7
1.0,0.778,13,0.8571428571428571,0.37796447300922725,6,7
1.0,0.778,14,0.8333333333333334,0.408248290463863,5,6
1.0,0.778,15,0.4,0.5477225575051661,2,5
1.0,0.778,17,1.0,0.0,7,7
1.0,0.778,18,1.0,0.0,6,6
1.0,0.778,20,1.0,0.0,6,6
1.0,0.778,21,0.5,0.5477225575051661,3,6
1.0,0.778,24,0.6666666666666666,0.5773502691896258,2,3
1.0,0.778,25,1.0,0.0,7,7
1.0,0.778,27,0.75,0.5,3,4
1.0,0.778,28,1.0,0.0,7,7
1.0,0.778,29,0.8333333333333334,0.408248290463863,5,6
1.0,0.778,30,1.0,0.0,7,7
1.0,0.778,31,0.8333333333333334,0.408248290463863,5,6
1.0,0.778,34,0.8333333333333334,0.408248290463863,5,6
1.0,0.778,35,0.75,0.5,3,4
1.0,0.778,36,0.6666666666666666,0.5163977794943222,4,6
1.0,0.889,1,0.8,0.4472135954999579,4,5
1.0,0.889,3,1.0,0.0,7,7
1.0,0.889,4,1.0,0.0,6,6
1.0,0.889,5,1.0,0.0,6,6
1.0,0.889,6,1.0,0.0,5,5
1.0,0.889,7,1.0,0.0,6,6
1.0,0.889,9,1.0,0.0,7,7
1.0,0.889,10,1.0,0.0,6,6
1.0,0.889,11,1.0,0.0,6,6
1.0,0.889,12,1.0,0.0,7,7
1.0,0.889,13,1.0,0.0,7,7
1.0,0.889,14,1.0,0.0,7,7
1.0,0.889,15,1.0,0.0,6,6
1.0,0.889,17,1.0,0.0,7,7
1.0,0.889,18,0.8,0.4472135954999579,4,5
1.0,0.889,20,1.0,0.0,4,4
1.0,0.889,21,0.8333333333333334,0.408248290463863,5,6
1.0,0.889,24,1.0,0.0,3,3
1.0,0.889,25,1.0,0.0,6,6
1.0,0.889,27,0.8333333333333334,0.408248290463863,5,6
1.0,0.889,28,1.0,0.0,7,7
1.0,0.889,29,1.0,0.0,5,5
1.0,0.889,30,1.0,0.0,7,7
1.0,0.889,31,1.0,0.0,6,6
1.0,0.889,34,0.7142857142857143,0.4879500364742666,5,7
1.0,0.889,35,1.0,0.0,2,2
1.0,0.889,36,1.0,0.0,5,5
1.0,1.0,1,0.5,0.5477225575051661,3,6
1.0,1.0,3,0.8333333333333334,0.408248290463863,5,6
1.0,1.0,4,1.0,0.0,6,6
1.0,1.0,5,1.0,0.0,6,6
1.0,1.0,6,1.0,0.0,5,5
1.0,1.0,7,1.0,0.0,5,5
1.0,1.0,9,1.0,0.0,7,7
1.0,1.0,10,1.0,0.0,7,7
1.0,1.0,11,1.0,0.0,7,7
1.0,1.0,12,1.0,0.0,7,7
1.0,1.0,13,1.0,0.0,7,7
1.0,1.0,14,1.0,0.0,7,7
1.0,1.0,15,1.0,0.0,5,5
1.0,1.0,17,1.0,0.0,7,7
1.0,1.0,18,0.6666666666666666,0.5773502691896258,2,3
1.0,1.0,20,1.0,0.0,4,4
1.0,1.0,21,0.8,0.4472135954999579,4,5
1.0,1.0,24,0.8,0.4472135954999579,4,5
1.0,1.0,25,1.0,0.0,6,6
1.0,1.0,27,0.6666666666666666,0.5773502691896258,2,3
1.0,1.0,28,1.0,0.0,7,7
1.0,1.0,29,1.0,0.0,5,5
1.0,1.0,30,1.0,0.0,7,7
1.0,1.0,31,1.0,0.0,4,4
1.0,1.0,34,1.0,0.0,7,7
1.0,1.0,35,0.6666666666666666,0.5773502691896258,2,3
1.0,1.0,36,1.0,0.0,4,4
